,Date,Ventes Prévues,Pessimiste,Optimiste
942,2015-08-01,4723,3203,6177
943,2015-08-02,0,0,1205
944,2015-08-03,4687,3254,6079
945,2015-08-04,4371,2960,5859
946,2015-08-05,4157,2771,5604
947,2015-08-06,3781,2351,5188
948,2015-08-07,4187,2739,5686
949,2015-08-08,4599,3058,6040
950,2015-08-09,0,0,1085
951,2015-08-10,4579,3161,6118
952,2015-08-11,4274,2834,5684
953,2015-08-12,4071,2716,5478
954,2015-08-13,3706,2128,5114
955,2015-08-14,4124,2774,5493
956,2015-08-15,4547,2981,5921
957,2015-08-16,0,0,1068
958,2015-08-17,4549,3061,6070
959,2015-08-18,4253,2855,5723
960,2015-08-19,4058,2607,5606
961,2015-08-20,3700,2311,5086
962,2015-08-21,4123,2713,5508
963,2015-08-22,4550,3136,5965
964,2015-08-23,0,0,981
965,2015-08-24,4554,3139,5987
966,2015-08-25,4256,2849,5701
967,2015-08-26,4058,2685,5441
968,2015-08-27,3696,2279,5087
969,2015-08-28,4115,2741,5501
970,2015-08-29,4535,3117,6066
971,2015-08-30,0,0,931
972,2015-08-31,4526,3102,5907
973,2015-09-01,4222,2717,5675
974,2015-09-02,4018,2584,5480
975,2015-09-03,3651,2161,5136
976,2015-09-04,4064,2679,5486
977,2015-09-05,4481,3130,5929
978,2015-09-06,0,0,1007
979,2015-09-07,4468,3013,5939
980,2015-09-08,4164,2666,5542
981,2015-09-09,3961,2520,5319
982,2015-09-10,3596,2178,4997
983,2015-09-11,4013,2589,5505
984,2015-09-12,4435,3029,5876
985,2015-09-13,0,0,1007
986,2015-09-14,4434,3013,5957
987,2015-09-15,4137,2731,5557
988,2015-09-16,3942,2581,5398
989,2015-09-17,3584,2263,5062
990,2015-09-18,4009,2553,5401
991,2015-09-19,4438,2992,5879
992,2015-09-20,0,0,891
993,2015-09-21,4449,3029,5897
994,2015-09-22,4157,2615,5587
995,2015-09-23,3966,2559,5463
996,2015-09-24,3611,2096,5115
997,2015-09-25,4037,2697,5524
998,2015-09-26,4466,2993,5888
999,2015-09-27,0,0,957
1000,2015-09-28,4475,3063,6003
1001,2015-09-29,4181,2733,5629
1002,2015-09-30,3986,2625,5376
1003,2015-10-01,3627,2191,5076
1004,2015-10-02,4049,2568,5453
1005,2015-10-03,4474,3065,5859
1006,2015-10-04,0,0,933
1007,2015-10-05,4476,3095,6051
1008,2015-10-06,4179,2742,5615
1009,2015-10-07,3982,2583,5389
1010,2015-10-08,3623,2212,5039
1011,2015-10-09,4046,2702,5557
1012,2015-10-10,4473,3075,6066
1013,2015-10-11,0,0,938
1014,2015-10-12,4484,3031,5852
1015,2015-10-13,4194,2687,5630
1016,2015-10-14,4006,2641,5455
1017,2015-10-15,3656,2184,5115
1018,2015-10-16,4089,2738,5612
1019,2015-10-17,4528,3124,5990
1020,2015-10-18,0,0,1066
1021,2015-10-19,4562,3168,6010
1022,2015-10-20,4283,2795,5631
1023,2015-10-21,4106,2780,5474
1024,2015-10-22,3767,2290,5114
1025,2015-10-23,4210,2676,5640
1026,2015-10-24,4656,3188,6011
1027,2015-10-25,0,0,1122
1028,2015-10-26,4701,3321,6234
1029,2015-10-27,4425,2997,5843
1030,2015-10-28,4248,2838,5548
1031,2015-10-29,3907,2572,5336
1032,2015-10-30,4346,2953,5830
1033,2015-10-31,4786,3333,6183
1034,2015-11-01,0,0,1319
1035,2015-11-02,4815,3464,6276
1036,2015-11-03,4528,3121,5974
1037,2015-11-04,4341,2946,5747
1038,2015-11-05,3989,2649,5386
1039,2015-11-06,4417,2915,5864
1040,2015-11-07,4847,3464,6199
1041,2015-11-08,0,0,1216
1042,2015-11-09,4861,3410,6342
1043,2015-11-10,4570,3108,6022
1044,2015-11-11,4381,2869,5839
1045,2015-11-12,4030,2544,5416
1046,2015-11-13,4463,2954,5870
1047,2015-11-14,4902,3524,6322
1048,2015-11-15,0,0,1415
1049,2015-11-16,4945,3459,6397
1050,2015-11-17,4674,3253,5993
1051,2015-11-18,4509,2977,5824
1052,2015-11-19,4186,2696,5649
1053,2015-11-20,4650,3212,6083
1054,2015-11-21,5122,3661,6630
1055,2015-11-22,232,0,1603
1056,2015-11-23,5236,3803,6663
1057,2015-11-24,5002,3477,6443
1058,2015-11-25,4873,3401,6296
1059,2015-11-26,4585,3192,6143
1060,2015-11-27,5082,3580,6501
1061,2015-11-28,5584,4148,6973
